id,path,parent_id,permission_id,method,description,nav_label,nav_group,nav_order,lucide_icon,is_public,is_visible,is_disabled,is_admin_only,rollout_at,nav_group_id
a5528cce-0d47-42bd-a850-2634c2d70b3a,terms,cb7aef16-26a5-436b-b99d-59d164a9e352,9ba03c2a-b4ee-4896-980e-8e83373ab252,GET,,Terms,,3,FileText,true,true,false,false,,
a7c2a9d7-8149-4e2c-a70c-fe5bd3555fbe,limits,b4aa8b16-0dde-422a-bd41-ec9aa259221a,1979ab70-1c5b-4799-953b-2a732200584e,GET,,Limits,,3,BarChart,true,true,false,false,,
b1a64b7a-00ed-4a52-9771-18966b963cad,pending,da485099-9d73-4881-ac63-73cea8eb6c08,4025dc9b-94c4-4a99-b06d-a03d3eef12a5,GET,,Pending,,1,Clock,false,true,false,false,,
b4aa8b16-0dde-422a-bd41-ec9aa259221a,about,,11e970de-6039-45ad-aa53-cd27625759ed,GET,,About,,9,Info,true,true,false,false,,19f578ad-c4d7-44f9-8247-1f31ccab3a7f
b564150e-dbb7-4489-8fa8-ad316db964b7,files,,0664f8f5-c3c4-4fc5-bc46-50f681b19eb3,GET,,Files,,6,Folder,false,true,false,false,,
c294b578-887b-41a7-8f05-f5c2941f76fe,deliverables,b564150e-dbb7-4489-8fa8-ad316db964b7,dfd58935-4087-4895-9d85-ac437cffc14a,GET,,Deliverables,,4,PackageOpen,false,true,false,false,,
c5fd3554-0a66-4c5b-8144-b591e36a19b4,permissions,e0610b9d-2ce4-430f-9229-ba19227ad06c,3ad33395-c177-4ab9-961f-6350c9c8989b,GET,,Permissions,,4,Key,false,true,false,false,,
cb7aef16-26a5-436b-b99d-59d164a9e352,support,,960aba0d-2f6a-48ed-88f3-05d33145eac9,GET,,Support,,8,LifeBuoy,true,true,false,false,,19f578ad-c4d7-44f9-8247-1f31ccab3a7f
ce8f5e86-3302-47e7-b8ea-7f415af345b5,dashboard,,33e75bf0-a27b-403d-a377-8a595721f9b6,GET,,Dashboard,,1,LayoutDashboard,false,true,false,false,,
d5983e9a-ca00-45b2-b8f4-2a43bef01d16,billing,b4aa8b16-0dde-422a-bd41-ec9aa259221a,a05ce7c2-b95c-459c-8ff1-65c47266e553,GET,,Billing,,2,CreditCard,true,true,false,false,,
da485099-9d73-4881-ac63-73cea8eb6c08,requests,,2f3a49df-56db-4636-933f-2c2bae7f7b87,GET,,Requests,,5,Inbox,false,true,false,false,,
ddb77bd3-18fa-4bac-aede-cc693b41abdb,general,b4aa8b16-0dde-422a-bd41-ec9aa259221a,a9001a1e-bebb-47cd-92f4-747a75abfbf0,GET,,General,,1,Info,true,true,false,false,,
de0901e9-55fc-44f1-9a9c-957fb2b72c9e,notifications,e0610b9d-2ce4-430f-9229-ba19227ad06c,9c851d1a-42cd-4c00-bcbc-f4f7e29687a0,GET,,Notifications,,3,Bell,false,true,false,false,,
e0610b9d-2ce4-430f-9229-ba19227ad06c,settings,,9ef0c649-b70e-47bc-9fc6-93b48d6868f2,GET,,Settings,,7,Settings,false,true,false,false,,
f12f76e8-0f14-470d-8681-06fd49d66c88,timeline,,c5ad21c8-fa37-4cb5-9521-e636a86de6b1,GET,,Timeline,,3,Timeline,false,true,false,false,,
